old_family,new_family,commodity_type,spend_category_workday_gl_code,commodity_group,financial_treatment,description
Software & Cloud,Technology Services,Developer Tools,SC-20220 / 61120 - Software Licenses & Support,Enterprise Software,OpEx,"Integrated development environments, code repos, and software build tools."
Software & Cloud,Technology Services,PaaS / Database Services,SC-20230 / 61130 - Managed Cloud Databases,Cloud Services,OpEx,"Managed cloud database platforms, data warehousing, and backend services."
Software & Cloud,Technology Services,Cybersecurity Software,SC-20240 / 61140 - InfoSec & Endpoint Protection,Enterprise Software,OpEx,"Antivirus, identity management (IAM), SIEM, and vulnerability scanner licenses."
Software & Cloud,Technology Services,CRM & Sales Software,SC-20250 / 61150 - Commercial Applications,Enterprise Software,OpEx,"Customer relationship management tools, pipeline tracking, and sales enablement platforms."
Software & Cloud,Technology Services,ERP Software Maintenance,SC-20260 / 61160 - Enterprise Core Licenses,Enterprise Software,OpEx,"Annual support, licensing, and update fees for enterprise resource planning platforms."
Software & Cloud,Technology Services,BI & Analytics Tools,SC-20270 / 61170 - Data Analytics Applications,Enterprise Software,OpEx,"Business intelligence dashboards, data visualization, and reporting software."
Software & Cloud,Technology Services,AI & ML API Services,SC-20280 / 61180 - Advanced Compute & AI API,Cloud Services,OpEx,"Hosted machine learning models, natural language APIs, and AI inference tokens."
Software & Cloud,Technology Services,On-Premises Software Licenses,SC-20290 / 61190 - Perpetual Software Licenses,Enterprise Software,CapEx,Perpetual software license purchases for self-hosted server environments.
Software & Cloud,Technology Services,DevOps & CI/CD Tooling,SC-20300 / 61200 - Pipeline Automation Tools,Enterprise Software,OpEx,"Automated code deployment tools, testing frameworks, and container registries."
Software & Cloud,Technology Services,HR Tech & HCM Software,SC-20310 / 61210 - Human Capital Systems,Enterprise Software,OpEx,"Human resource management, applicant tracking, and performance platforms."
Software & Cloud,Technology Services,Colocation Services,SC-20320 / 61220 - Data Center Rack Leasing,Cloud Services,OpEx,"Data center floor space, rack power, and cooling leased from third parties."
Software & Cloud,Technology Services,Content Delivery Networks (CDN),SC-20330 / 61230 - Edge & Network Services,Cloud Services,OpEx,Global edge networks for caching static assets and accelerating web applications.
Software & Cloud,Technology Services,Collaboration Tools,SC-20340 / 61240 - Productivity Suites,Enterprise Software,OpEx,"Instant messaging, video calling software, and team documentation workspaces."
Professional Services,Corporate Services,IT Consulting,SC-30300 / 62010 - Professional Technical Services,Consulting Services,OpEx,"External technical architecture, systems integration, and engineering consultation."
Professional Services,Corporate Services,Management Consulting,SC-30310 / 62020 - Advisory Services,Consulting Services,OpEx,"Strategic business transformation, process optimization, and organizational advisory."
Professional Services,Corporate Services,Staff Augmentation,SC-30320 / 62030 - Contingent Workforce,Contract Labor,OpEx,"Contract software developers, temporary project managers, and technical contractors."
Professional Services,Corporate Services,Financial Auditing,SC-30330 / 62040 - Accounting & Audit Fees,Financial Services,OpEx,"External financial statements, Sarbanes-Oxley (SOX) compliance, and accounting audits."
Professional Services,Corporate Services,Tax Advisory Services,SC-30340 / 62050 - Corporate Tax Consulting,Financial Services,OpEx,"Specialized international tax strategy, transfer pricing, and corporate filing advisory."
Professional Services,Corporate Services,Strategy Consulting,SC-30350 / 62060 - Strategic Advisory,Consulting Services,OpEx,High-level executive advisory for corporate restructuring and market entry.
Professional Services,Corporate Services,Executive Search Services,SC-30360 / 62070 - Recruiting & Talent Services,HR Services,OpEx,Retained headhunting services for VP and C-suite level executive talent acquisition.
Professional Services,Corporate Services,Translation & Localization,SC-30370 / 62080 - Content Localization,Corporate Operations,OpEx,"Language translation, website localization, and internationalization services."
Professional Services,Corporate Services,Engineering Services,SC-30380 / 62090 - Technical Design & R&D,Consulting Services,OpEx,"Specialized hardware engineering, drafting, and product research support."
Professional Services,Corporate Services,Change Management Consulting,SC-30390 / 62100 - Organizational Development,Consulting Services,OpEx,"Corporate adoption planning, training strategy, and change communication services."
Professional Services,Corporate Services,UI/UX Design Agencies,SC-30400 / 62110 - Creative Technical Design,Consulting Services,OpEx,Contracted digital agency services for user experience research and visual interface design.
Professional Services,Corporate Services,Quality Assurance Contractors,SC-30410 / 62120 - Quality Control Services,Contract Labor,OpEx,"Contract software testers, automated test engineers, and quality management specialists."
Professional Services,Corporate Services,BPO / Managed Support,SC-30420 / 62130 - Outsourced Support Services,Contract Labor,OpEx,"Outsourced customer support, helpdesk operations, and business process services."
Professional Services,Corporate Services,Actuarial Services,SC-30430 / 62140 - Risk Assessment Consulting,Financial Services,OpEx,"Mathematical risk calculations for insurance, pensions, and financial exposure."
Professional Services,Corporate Services,Environmental Consulting,SC-30440 / 62150 - ESG & Sustainability Services,Consulting Services,OpEx,"Carbon accounting, sustainability reporting, and environmental compliance advisory."
Facilities & Real Estate,Real Estate Operations,Office Supplies,SC-40400 / 63010 - General Office Supplies,Facilities Operations,OpEx,"Paper products, writing utensils, desk accessories, and general workplace consumables."
Facilities & Real Estate,Real Estate Operations,Leasehold Improvements,SC-40410 / 15000 - Capitalized Facilities Assets,Facilities Operations,CapEx,"Physical renovation, permanent interior construction, and facility upgrades."
Facilities & Real Estate,Real Estate Operations,Utilities & Power,SC-40420 / 63020 - Facilities Utilities,Facilities Operations,OpEx,"Grid electricity, natural gas, municipal water, and sewage charges for offices."
Facilities & Real Estate,Real Estate Operations,Janitorial & Cleaning,SC-40430 / 63030 - Facilities Maintenance,Facilities Operations,OpEx,"Regular facility cleaning, trash removal, and specialized sanitation services."
Facilities & Real Estate,Real Estate Operations,Physical Security Services,SC-40440 / 63040 - Guard & Security Services,Facilities Operations,OpEx,"On-site security personnel, lobby badge desk staffing, and mobile patrol services."
Facilities & Real Estate,Real Estate Operations,HVAC Maintenance & Equipment,SC-40450 / 63050 - Building Systems Repair,Facilities Operations,OpEx,"Routine maintenance and repair of air conditioning, heating, and ventilation systems."
Facilities & Real Estate,Real Estate Operations,Commercial Real Estate Leases,SC-40460 / 63060 - Rent & Lease Expenses,Real Estate Management,OpEx,Monthly lease and rental payments for global office and warehouse locations.
Facilities & Real Estate,Real Estate Operations,Furniture & Fixtures,SC-40470 / 15100 - Office Furniture Assets,Workplace Environment,CapEx,"Ergonomic desks, task chairs, conference tables, and permanent office fixtures."
Facilities & Real Estate,Real Estate Operations,Waste Management & Recycling,SC-40480 / 63070 - Environmental Operations,Facilities Operations,OpEx,"Commercial dumpster service, e-waste recycling, and compost collection."
Facilities & Real Estate,Real Estate Operations,Catering & Micro-Kitchens,SC-40490 / 63080 - Workplace Dining Services,Workplace Environment,OpEx,"On-site snacks, coffee services, catered meetings, and office kitchen stocking."
Facilities & Real Estate,Real Estate Operations,EV Charging Stations,SC-40500 / 15200 - Sustainable Infrastructure,Facilities Operations,CapEx,"Commercial EV charger installation, electrical upgrades, and charging station hardware."
Facilities & Real Estate,Real Estate Operations,Space Planning & Architecture,SC-40510 / 63090 - Facilities Design Services,Facilities Operations,OpEx,"Interior architecture, workplace desk layout optimization, and CAD drafting."
Facilities & Real Estate,Real Estate Operations,Shuttle & Transportation,SC-40520 / 63100 - Commuter Services,Real Estate Management,OpEx,"Employee transit shuttles, last-mile van services, and parking garage management."
Facilities & Real Estate,Real Estate Operations,Document Destruction,SC-40530 / 63110 - Records & Shredding,Facilities Operations,OpEx,"Secure paper shredding bins, hard drive degaussing, and confidential disposal."
Facilities & Real Estate,Real Estate Operations,Landscaping & Grounds keeping,SC-40540 / 63120 - Property Exterior Upkeep,Facilities Operations,OpEx,"Lawn care, tree trimming, exterior plant maintenance, and seasonal snow clearing."
Marketing & Sales,Go-To-Market Services,Digital Advertising,SC-50500 / 64010 - Advertising & Media,Marketing Operations,OpEx,"Pay-per-click ads, social media campaigns, and programmatically bought ad banners."
Marketing & Sales,Go-To-Market Services,Events & Sponsorships,SC-50510 / 64020 - Corporate Events & Marketing,Marketing Operations,OpEx,"Industry conference booth rentals, user conference venue hosting, and event sponsorships."
Marketing & Sales,Go-To-Market Services,Public Relations Agencies,SC-50520 / 64030 - PR & Communications Services,Marketing Operations,OpEx,"External media relations, press release distribution, and crisis management firms."
Marketing & Sales,Go-To-Market Services,Branded Merchandise & Swag,SC-50530 / 64040 - Promotional Goods,Marketing Operations,OpEx,"Custom apparel, giveaway items, and promotional branded assets for marketing."
Marketing & Sales,Go-To-Market Services,Market Research & Data Feeds,SC-50540 / 64050 - Market Intelligence Data,Commercial Strategy,OpEx,"Subscribed industry reports, customer survey data, and competitive intelligence feeds."
Marketing & Sales,Go-To-Market Services,SEO & Content Marketing,SC-50550 / 64060 - Digital Growth Agencies,Marketing Operations,OpEx,"Search engine optimization audit services, blog copywriting, and web traffic optimization."
Marketing & Sales,Go-To-Market Services,Print & Broadcast Media,SC-50560 / 64070 - Traditional Media Spend,Marketing Operations,OpEx,"Print magazine advertisements, billboard placements, radio spots, and television ads."
Marketing & Sales,Go-To-Market Services,Video Production Services,SC-50570 / 64080 - Creative Agency Services,Marketing Operations,OpEx,"Commercial filming, animation, video editing, and motion graphics production."
Marketing & Sales,Go-To-Market Services,Influencer & Affiliate Marketing,SC-50580 / 64090 - Channel Partner Marketing,Marketing Operations,OpEx,"Payouts and commissions to affiliate partners, creators, and third-party promoters."
Marketing & Sales,Go-To-Market Services,Sales Enablement Content,SC-50590 / 64100 - Customer Asset Production,Commercial Strategy,OpEx,"Production of pitch decks, customer case studies, product datasheets, and whitepapers."
Telecom & Data,Technology Infrastructure,Data Networks,SC-10130 / 60040 - Telecom & Connectivity,Network Services,OpEx,"Dedicated fiber lines, MPLS circuits, and enterprise broadband connections."
Telecom & Data,Technology Infrastructure,Cellular & Voice Plans,SC-10135 / 60045 - Corporate Wireless Services,Network Services,OpEx,Monthly carrier service plans for corporate mobile phones and data hot-spots.
Telecom & Data,Technology Infrastructure,SIP Trunking & VoIP,SC-10145 / 60055 - Voice Infrastructure,Network Services,OpEx,"Virtual voice calling lines, IP telephony, and international calling routing services."
Telecom & Data,Technology Infrastructure,Satellite Connectivity,SC-10155 / 60065 - Remote Connectivity Services,Network Services,OpEx,Low-Earth orbit and geostationary satellite internet data for remote operations.
Telecom & Data,Technology Infrastructure,Fiber Optic Cabling Install,SC-10165 / 15300 - Network Cabling Assets,Data Center Infrastructure,CapEx,"Physical structured cabling, fiber installation, and patch panel building infrastructure."
Human Resources,Corporate Services,Employee Health Insurance,SC-60600 / 65010 - Medical & Benefits Plans,Human Capital,OpEx,"Corporate medical, dental, vision, and healthcare plan premiums."
Human Resources,Corporate Services,Corporate Training & Certs,SC-60610 / 65020 - Learning & Development,Human Capital,OpEx,"Professional skill courses, external certifications, and leadership bootcamps."
Human Resources,Corporate Services,Relocation Services,SC-60620 / 65030 - Global Mobility Expenses,Human Capital,OpEx,"Employee moving services, temporary housing stipends, and visa processing support."
Human Resources,Corporate Services,Background Checks & Screening,SC-60630 / 65040 - Talent Acquisition Services,HR Services,OpEx,"Pre-employment criminal background checks, drug screenings, and credential verifications."
Human Resources,Corporate Services,Employee Recognition Awards,SC-60640 / 65050 - Rewards & Engagement,Human Capital,OpEx,"Service anniversary gifts, spot bonus rewards, and peer-appreciation platforms."
Human Resources,Corporate Services,Wellness Programs,SC-60650 / 65060 - Workplace Wellness,Human Capital,OpEx,"Gym membership reimbursements, mental health app access, and wellness initiatives."
Human Resources,Corporate Services,Temporary Staffing Agencies,SC-60660 / 65070 - Administrative Contingent,Contract Labor,OpEx,"Short-term office administrative, clerical, and receptionist temporary placement."
Human Resources,Corporate Services,Payroll Processing Fees,SC-60670 / 65080 - Financial HR Operations,HR Services,OpEx,"Third-party payroll calculation, tax withholding processing, and pay stub delivery."
Human Resources,Corporate Services,Outplacement Services,SC-60680 / 65090 - Transition Management,HR Services,OpEx,"Career transition coaching, resume assistance, and job placement support for exiting staff."
Legal & Compliance,Corporate Services,Outside Counsel / Litigation,SC-70700 / 66010 - External Legal Services,Legal Operations,OpEx,"Billable hourly fees for external law firms, trial attorneys, and litigation defense."
Legal & Compliance,Corporate Services,IP & Patent Filings,SC-70710 / 66020 - Trademark & Patent Fees,Legal Operations,OpEx,"Government registration fees, patent prosecution, and trademark protection expenses."
Legal & Compliance,Corporate Services,Regulatory Compliance Audits,SC-70720 / 66030 - Regulatory Risk Services,Governance & Risk,OpEx,"External privacy audits, GDPR/CCPA readiness reviews, and regulatory assessments."
Legal & Compliance,Corporate Services,eDiscovery Services,SC-70730 / 66040 - Litigation Support Tech,Legal Operations,OpEx,"Digital evidence indexing, document review software, and forensic data collection."
Legal & Compliance,Corporate Services,Corporate Governance Services,SC-70740 / 66050 - Board & Entity Management,Governance & Risk,OpEx,"Subsidiary management platforms, board portal tools, and corporate secretarial services."
Legal & Compliance,Corporate Services,Notary & Court Reporting,SC-70750 / 66060 - Legal Administrative Fees,Legal Operations,OpEx,"Deposition court reporters, transcript printing, and official notary services."
Supply Chain & Ops,Logistics & Fleet,Freight Forwarding (Air/Ocean),SC-80800 / 67010 - Global Logistics Expenses,Supply Chain Ops,OpEx,"International freight shipping via cargo planes, container ships, and port handling."
Supply Chain & Ops,Logistics & Fleet,Parcel & Courier Shipping,SC-80810 / 67020 - Express Freight Services,Supply Chain Ops,OpEx,"Standard small-package shipping, overnight express couriers, and mail services."
Supply Chain & Ops,Logistics & Fleet,Third-Party Warehousing (3PL),SC-80820 / 67030 - Logistics & Storage Fees,Supply Chain Ops,OpEx,"Outsourced inventory storage, pick-and-pack fulfillment, and warehouse management."
Supply Chain & Ops,Logistics & Fleet,Customs Brokerage,SC-80830 / 67040 - Import/Export Duties & Fees,Supply Chain Ops,OpEx,"Import/export legal clearances, tariff processing, and customs declaration handling."
Supply Chain & Ops,Logistics & Fleet,Fleet Vehicle Leasing,SC-80840 / 67050 - Vehicle Fleet Operations,Logistics & Fleet,OpEx,"Monthly master lease agreements for sales, service, and delivery vehicles."
Supply Chain & Ops,Logistics & Fleet,Fleet Maintenance & Fuel,SC-80850 / 67060 - Transportation Operations,Logistics & Fleet,OpEx,"Commercial fuel cards, oil changes, tire replacements, and fleet repairs."
Supply Chain & Ops,Logistics & Fleet,Forklifts & Material Handling,SC-80860 / 15400 - Warehouse Equipment Assets,Supply Chain Ops,CapEx,"Warehouse motorized equipment, pallets jacks, and high-capacity forklifts."
Supply Chain & Ops,Logistics & Fleet,Packaging Materials,SC-80870 / 67070 - Shipping Supplies,Supply Chain Ops,OpEx,"Corrugated boxes, protective bubble wrap, tape, and packing materials."
Corporate Travel,Corporate Services,Commercial Airline Travel,SC-90900 / 68010 - Air Travel Expenses,Travel & Expense,OpEx,Passenger airline ticket purchases for business travel and corporate trips.
Corporate Travel,Corporate Services,Hotels & Lodging,SC-90910 / 68020 - Lodging Expenses,Travel & Expense,OpEx,"Overnight hotel stays, room bookings, and extended-stay corporate lodging."
Corporate Travel,Corporate Services,Car Rentals & Rideshare,SC-90920 / 68030 - Ground Transportation,Travel & Expense,OpEx,"Rental car bookings, taxi rides, and corporate rideshare application charges."
Corporate Travel,Corporate Services,Corporate Credit Card Fees,SC-90930 / 68040 - Financial Merchant Fees,Financial Services,OpEx,Annual corporate credit card program administration fees and transaction charges.
Corporate Travel,Corporate Services,Travel Management Agency Fees,SC-90940 / 68050 - TMC Transaction Fees,Travel & Expense,OpEx,Booking transaction fees paid to corporate travel management agents.
Corporate Travel,Corporate Services,Per Diem & Meals,SC-90950 / 68060 - Employee T&E Meals,Travel & Expense,OpEx,Daily food allowances and client dining expenses during active business travel.
